,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
0,Aada Inna,F,,U,4059.0,0,1,FIN,,,2021.0,,,,,1,,,,0
1,Aalisha Alexis,F,,U,3237.5,0,2,TTO,,,2019.0,,,,,2,,,,0
2,Aaliya Ebrahim,F,,R,3632.6666666666665,2,7,IND,,,2020.0,,,,,9,Summer,2019.0,Clay,22
3,Aaliyah Hohmann,F,,U,2792.6666666666665,1,2,DEU,,,2021.0,,,,,3,Summer,2021.0,Hard,33
4,Aalyka Ebrahim,F,,U,3207.75,0,4,IND,,,2019.0,,,,,4,,,,0
5,Aanisha Rahul Shewate,F,,U,3184.0,0,1,IND,,,2021.0,,,,,1,,,,0
6,Aanisha Rahul Shewate Aanisha Rahul Shewate,F,,U,2857.0,0,1,IND,,,2019.0,,,,,1,,,,0
7,Aanu Ayegbusi,F,,U,3186.0,3,3,NGR,,,2019.0,,,,,6,Winter,2019.0,Hard,50
8,Aareyalee Amrutsinh Chavan,F,1994.0,R,4444.0,0,1,IND,,,2016.0,,,,,1,,,,0
9,Aaro Pollanen,M,1998.0,R,2704.0,0,1,FIN,121.0,1559.0,2017.0,0.0,0.6404494382022472,8.0,0.11235955056179775,1,,,,0
10,Aaron Addison,M,1996.0,R,5288.181818181818,2,9,AUS,84.9090909090909,1130.9,2020.0,0.5461172665718119,0.5765072016205474,5.636363636363637,0.06069510519057137,11,Winter,2016.0,Hard,18
11,Aashi Kapoor,F,,U,3613.0,0,1,IND,,,2021.0,,,,,1,,,,0
12,Aastha Dargude,F,1998.0,R,3877.3333333333335,1,2,IND,,,2017.0,,,,,3,Winter,2016.0,Hard,33
13,Aayushi Tanwar,F,2000.0,U,3304.5,1,5,IND,,,2021.0,,,,,6,Winter,2021.0,Hard,16
14,Abbie Myers,F,1994.0,R,3378.8407643312103,75,82,AUS,98.0,474.9299363057325,2021.0,0.39697802197802196,0.5209649433543909,2.857142857142857,0.07085743780683824,157,Summer,2019.0,Hard,47
15,Abby Mason,F,,U,3330.0,0,1,NZL,,,2020.0,,,,,1,,,,0
16,Abdulhamid Mubarak,M,1994.0,U,407.0,0,1,KUW,94.0,,2016.0,0.6666666666666666,0.5340909090909091,0.0,0.022727272727272728,1,,,,0
17,Abdullah Maqdas,M,1987.0,U,231.0,0,2,KUW,191.5,1298.0,2017.0,0.5227272727272727,0.5744275582573455,2.5,0.013495440729483282,2,,,,0
18,Abdulrahman Al Janahi,M,1995.0,R,7604.0,0,1,UAE,,,2021.0,0.5384615384615384,0.4067796610169492,1.0,0.01694915254237288,1,,,,0
19,Abdulrahman Alawadhi,M,1992.0,R,407.0,0,1,KUW,112.0,,2016.0,0.2727272727272727,0.41333333333333333,1.0,0.08,1,,,,0
20,Abduvoris Saitmukhamedov,M,1994.0,R,3151.0,0,2,UZB,34.5,2061.0,2016.0,0.16666666666666666,0.4145299145299145,1.5,0.06623931623931624,2,,,,0
21,Abhilasha Mehra,F,1992.0,U,2665.0,0,2,IND,,,2019.0,,,,,2,,,,0
22,Abhinav Sanjeev Shanmugam,M,1999.0,U,3806.5625,8,8,IND,88.66666666666667,1233.0625,2020.0,0.58525988173047,0.602522841302888,6.4,0.05323542690608433,16,Winter,2018.0,Hard,50
23,Abigail Amos,F,,U,2436.3333333333335,1,2,GBR,,,2019.0,,,,,3,Summer,2019.0,Hard,33
24,Abigail Cazarez Gonzalez,F,1999.0,U,4099.0,0,1,MEX,,,2016.0,,,,,1,,,,0
25,Abigail Desiatnikov,F,2001.0,R,2870.5833333333335,7,5,USA,,,2017.0,,,,,12,Summer,2016.0,Clay,58
26,Abigail Forbes,F,2001.0,U,2943.4,1,4,USA,,,2021.0,,,,,5,Summer,2021.0,Hard,20
27,Abigail Rencheli,F,2002.0,R,4060.0,3,3,MDA,,,2020.0,,,,,6,Winter,2020.0,Hard,50
28,Abigail Spears,F,1981.0,R,3228.0,0,9,USA,81.66666666666667,1111.0,2019.0,0.48132700632700637,0.5312721869742671,4.777777777777778,0.04437617908841202,9,,,,0
29,Abigail Tere Apisah,F,1992.0,U,2857.5158730158732,74,52,PNG,87.57142857142857,421.5079365079365,2020.0,0.5766091051805338,0.5602374422443362,1.3571428571428572,0.07036663432836912,126,Winter,2017.0,Hard,58
30,Abigale Cotuna,F,,U,2935.5,0,2,USA,,,2019.0,,,,,2,,,,0
31,Abiodun Oyegoke,F,1986.0,U,3077.5,0,2,NGR,,,2019.0,,,,,2,,,,0
32,Abir El Fahimi,F,1995.0,U,3188.4285714285716,3,11,MAR,35.666666666666664,,2017.0,0.33333333333333337,0.32703488372093026,0.0,0.1763565891472868,14,Summer,2016.0,Clay,21
33,Abla El Kadri,F,2000.0,U,2841.3333333333335,0,3,MAR,,,2017.0,,,,,3,,,,0
34,Abror Isakov,M,1989.0,U,3759.0,1,3,UZB,89.25,,2017.0,0.6664724164724165,0.5624508669687884,0.75,0.021853626735126978,4,Summer,2016.0,Hard,25
35,Adam Bronka,M,1999.0,U,2840.0,0,1,AUS,69.0,,2016.0,0.6,0.5079365079365079,0.0,0.09523809523809523,1,,,,0
36,Adam El Mihdawy,M,1989.0,U,3072.0434782608695,6,17,USA,58.869565217391305,398.1363636363636,2019.0,0.48694916194916205,0.54811222610539,3.260869565217391,0.11906721646231479,23,Summer,2017.0,Clay,26
37,Adam Hornby,M,,U,305.6666666666667,0,3,BAR,75.66666666666667,,2017.0,0.3226010101010101,0.36110791532443626,1.3333333333333333,0.09115182543334867,3,,,,0
38,Adam Jones,M,1998.0,U,2780.0,0,1,GBR,63.0,1714.0,2018.0,0.6,0.6166666666666667,4.0,0.05,1,,,,0
39,Adam Jurajda,M,2003.0,R,4245.0,0,1,CZE,137.0,,2021.0,0.7692307692307693,0.6,4.0,0.08,1,,,,0
40,Adam Majchrowicz,M,1991.0,U,3037.125,0,8,POL,66.875,1297.875,2017.0,0.46075036075036074,0.520467468148579,3.75,0.054418860312261536,8,,,,0
41,Adam Moundir,M,1995.0,R,1334.0,1,3,SUI,55.5,459.5,2020.0,0.25,0.5561118064246975,2.5,0.04005006257822278,4,Winter,2020.0,Clay,25
42,Adam Nagoudi,M,2000.0,U,3375.0,0,1,TUN,66.0,,2018.0,0.5833333333333334,0.46875,1.0,0.09375,1,,,,0
43,Adam Pavlasek,M,1994.0,R,5168.691542288557,109,92,CZE,94.3903743315508,169.1492537313433,2021.0,0.5780628838252677,0.6142935116227428,4.696808510638298,0.033647041087533115,201,Summer,2016.0,Clay,54
44,Adam Taylor,M,,R,3468.5,0,2,GBR,98.5,,2018.0,0.5357142857142857,0.5528089887640449,4.5,0.06942215088282504,2,,,,0
45,Adam Walton,M,1998.0,U,3433.5,0,2,AUS,89.0,,2017.0,0.42063492063492064,0.5368852459016393,1.5,0.06633625619519634,2,,,,0
46,Adel Ismagulova,F,,U,2770.125,3,5,KAZ,,,2019.0,,,,,8,Summer,2019.0,Clay,37
47,Adel Ismagylova,F,,U,3071.6363636363635,3,8,KAZ,,,2021.0,,,,,11,Summer,2021.0,Hard,27
48,Adel Malgonusova,F,,U,3235.0,1,1,KAZ,,,2021.0,,,,,2,Summer,2021.0,Clay,50
49,Adela Dorreova,F,2002.0,U,3805.0,0,1,CZE,,,2017.0,,,,,1,,,,0
50,Adela Jarosova,F,1994.0,R,3131.875,3,5,CZE,,,2019.0,,,,,8,Summer,2018.0,Clay,37
51,Adela Moravcova,F,,U,3004.5833333333335,6,6,CZE,,,2021.0,,,,,12,Summer,2020.0,Clay,50
52,Adelaida Allakhverdiyeva,F,2000.0,U,1015.0,0,1,KAZ,,,2018.0,,,,,1,,,,0
53,Adelchi Virgili,M,1990.0,U,3348.2413793103447,13,16,ITA,90.25925925925925,565.6071428571429,2019.0,0.5058449692070381,0.5922980414072649,3.3793103448275863,0.0705267242037432,29,Summer,2017.0,Clay,44
54,Adele Burato,F,,U,2965.0,13,13,ITA,,,2021.0,,,,,26,Summer,2021.0,Clay,50
55,Adele Diana Biba,F,2000.0,U,3753.0,0,2,CMR,,,2018.0,,,,,2,,,,0
56,Adelina Baravi,F,1999.0,U,3351.0588235294117,15,36,RUS,,1184.6666666666667,2020.0,,,,,51,Summer,2019.0,Hard,29
57,Adelina Doguzova,F,2001.0,R,2939.0,0,1,RUS,,,2019.0,,,,,1,,,,0
58,Adelina Krueger,F,2000.0,U,3159.8823529411766,11,23,GER,,,2021.0,,,,,34,Summer,2020.0,Clay,32
59,Ademi Amankeldi,F,,U,3005.1666666666665,3,3,KAZ,,,2021.0,,,,,6,Winter,2021.0,Hard,50
60,Adeola Greatorex,F,,U,3287.0,0,1,GBR,,,2020.0,,,,,1,,,,0
61,Adesuwa Osabuohien,F,1994.0,R,3262.277777777778,11,25,USA,,1248.857142857143,2021.0,,,,,36,Summer,2019.0,Hard,30
62,Adetayo Adetunji,F,2000.0,R,3167.0,0,2,NGR,,,2017.0,,,,,2,,,,0
63,Adi Gavish,F,2000.0,U,3021.8571428571427,7,14,ISR,,,2021.0,,,,,21,Summer,2021.0,Hard,33
64,Adi Spiegelman,F,1999.0,U,3144.2,0,5,ISR,,,2018.0,,,,,5,,,,0
65,Adil Kalyanpur,M,2000.0,R,4381.166666666667,0,6,IND,85.66666666666667,1218.6,2020.0,0.4675213675213676,0.5232158573158131,1.6666666666666667,0.05268525272948094,6,,,,0
66,Adil Karimov,M,2001.0,R,3285.0,0,1,UZB,66.0,,2019.0,0.6666666666666666,0.5308641975308642,4.0,0.08641975308641975,1,,,,0
67,Adithi Are,F,,U,3613.0,0,1,IND,,,2021.0,,,,,1,,,,0
68,Adithya Karunaratne,F,2001.0,U,3173.771186440678,59,59,SRI,,916.0344827586207,2021.0,,,,,118,Winter,2019.0,Clay,50
69,Aditi Sinha,F,,U,3062.1666666666665,3,15,USA,,,2021.0,,,,,18,Summer,2019.0,Clay,16
70,Aditya Deswal,M,1996.0,L,3274.5,0,2,IND,90.5,2016.0,2016.0,0.32727272727272727,0.5068759730150493,2.5,0.06395952257394914,2,,,,0
71,Aditya Hari Sasongko,M,1988.0,U,378.3333333333333,0,3,INA,147.66666666666666,1480.0,2017.0,0.44805194805194803,0.5167389993972272,4.666666666666667,0.052499497689371115,3,,,,0
72,Admir Kalender,M,2000.0,U,3255.5,0,2,CRO,72.0,,2019.0,0.5833333333333333,0.49114583333333334,3.0,0.0578125,2,,,,0
73,Adna Sofradzija,F,1998.0,U,3288.5555555555557,3,15,SWE,,,2018.0,,,,,18,Summer,2017.0,Clay,16
74,Adolfo Daniel Vallejo,M,,R,277.3333333333333,2,1,PAR,,,2020.0,,,,,3,Winter,2020.0,Clay,66
75,Adreanna Christopoulou,F,1993.0,U,3739.0,0,2,GRE,,,2019.0,,,,,2,,,,0
76,Adrian Andreev,M,2001.0,R,3146.4333333333334,12,18,BUL,102.18518518518519,500.5,2021.0,0.468268704475601,0.5676577116961731,1.6333333333333333,0.049847174433068644,30,Summer,2021.0,Clay,40
77,Adrian Andrzejczuk,M,1996.0,U,2676.6,1,4,POL,85.0,1004.0,2018.0,0.4955555555555556,0.5435049298826389,3.8,0.08885270216539568,5,Summer,2016.0,Clay,20
78,Adrian Bodmer,M,1995.0,R,3053.1052631578946,5,14,SUI,88.42105263157895,847.9473684210526,2019.0,0.618649945733279,0.6063342385375744,4.631578947368421,0.03989590578960532,19,Winter,2016.0,Hard,26
79,Adrian Fernandez,M,1993.0,R,2744.0,0,1,MEX,36.0,,2016.0,0.4,0.34146341463414637,2.0,0.04878048780487805,1,,,,0
80,Adrian Mannarino,M,1988.0,L,5761.0920245398775,170,156,FRA,104.84876543209876,46.1319018404908,2021.0,0.5665689269109465,0.6302074094107603,4.717791411042945,0.03332945433292445,326,Winter,2017.0,Hard,52
81,Adrian Menendez Maceiras,M,1985.0,R,4651.411764705882,146,143,ESP,105.06666666666666,182.4636678200692,2021.0,0.5716389779418473,0.6301453226563711,4.174074074074074,0.029912846582993424,289,Summer,2017.0,Hard,50
82,Adrian Obert,M,1994.0,R,2596.0,0,1,GER,82.0,873.0,2017.0,0.5555555555555556,0.5373134328358209,3.0,0.07462686567164178,1,,,,0
83,Adrian Oetzbach,M,1997.0,U,2434.0,1,1,GER,93.5,1879.0,2018.0,0.4358974358974359,0.42233285917496444,2.5,0.021052631578947368,2,Summer,2018.0,Clay,50
84,Adrian Sikora,M,1988.0,U,3255.0,0,1,SVK,132.0,411.0,2016.0,0.5,0.5535714285714286,5.0,0.0,1,,,,0
85,Adrian Ungur,M,1985.0,R,3599.144927536232,31,38,ROU,95.38095238095238,298.0,2018.0,0.5333531052281052,0.5973528722369369,1.875,0.041687927883988035,69,Summer,2016.0,Clay,44
86,Adriana Guzman,F,1992.0,U,3526.3333333333335,1,2,MEX,,,2017.0,,,,,3,Summer,2017.0,Hard,33
87,Adriana Perez,F,1993.0,R,224.33333333333334,3,0,VEN,94.0,,2017.0,0.7307692307692308,0.6227106227106227,3.0,0.054029304029304025,3,Winter,2017.0,Hard,100
88,Adriana Rajkovic,F,1996.0,U,3052.478260869565,39,30,CRO,,1246.7894736842106,2021.0,,,,,69,Winter,2021.0,Clay,56
89,Adriana Reami,F,1997.0,R,3326.3478260869565,18,5,USA,,918.2727272727273,2021.0,,,,,23,Summer,2019.0,Hard,78
90,Adriana Senkarova,F,2000.0,U,3028.2,1,4,SVK,,,2018.0,,,,,5,Winter,2018.0,Hard,20
91,Adriana Sosnovschi,F,1997.0,R,3331.5,20,24,MDA,,965.6111111111111,2018.0,,,,,44,Summer,2017.0,Clay,45
92,Adrianna Sosnowska,F,1999.0,U,3293.1111111111113,1,8,POL,,,2019.0,,,,,9,Winter,2017.0,Clay,11
93,Adrien Bossel,M,1987.0,L,2888.08,23,27,SUI,85.91836734693878,470.62,2018.0,0.5222819464486131,0.6333185529313315,5.938775510204081,0.04748342516289957,50,Summer,2016.0,Hard,46
94,Adrien Puget,M,1991.0,R,2947.75,3,5,FRA,98.25,337.125,2016.0,0.6128787878787878,0.5863215765605221,5.375,0.061628249603404184,8,Winter,2016.0,Clay,37
95,Adrienn Horvath,F,2000.0,R,3589.6521739130435,7,16,HUN,,1230.0,2019.0,,,,,23,Winter,2019.0,Hard,30
96,Adrienn Nagy,F,2001.0,R,3282.2444444444445,41,49,HUN,127.5,915.1951219512196,2021.0,0.5941558441558441,0.5649835796387521,3.5,0.053530377668308704,90,Summer,2021.0,Clay,45
97,Adrija Runcha,F,1993.0,R,3323.75,1,7,LAT,,,2021.0,,,,,8,Summer,2016.0,Clay,12
98,Adrijana Lekaj,F,1995.0,U,3017.529411764706,8,9,CRO,,482.5,2020.0,,,,,17,Winter,2016.0,Clay,47
99,Adva Dabah,F,2001.0,U,3108.923076923077,8,18,ISR,,1239.0,2021.0,,,,,26,Summer,2019.0,Hard,30
100,Advaitas Saravanan,F,1999.0,R,2744.0,0,1,IND,,,2017.0,,,,,1,,,,0
101,Afroditi Tzanopoulou,F,1999.0,U,2685.25,0,4,GRE,,,2019.0,,,,,4,,,,0
102,Agata Bachanek,F,1992.0,U,3027.777777777778,2,7,POL,,,2019.0,,,,,9,Summer,2019.0,Clay,22
103,Agata Cerna,F,2004.0,U,2783.0,0,1,CZE,,,2020.0,,,,,1,,,,0
104,Agata Jadwiga Bienkowska,F,1996.0,U,2974.1666666666665,1,5,POL,,1001.6,2016.0,,,,,6,Summer,2016.0,Hard,16
105,Agathe Timsit,F,1992.0,R,3313.4,13,27,FRA,,1088.875,2019.0,,,,,40,Summer,2019.0,Clay,32
106,Aglaya Fedorova,F,,U,3628.0,7,2,RUS,,,2021.0,,,,,9,Summer,2021.0,Hard,77
107,Aglaya Zaynieva,F,,U,2709.8333333333335,3,9,RUS,,,2021.0,,,,,12,Summer,2021.0,Clay,25
108,Agne Cepelyte,F,1996.0,R,3083.0,0,1,LTU,,,2017.0,,,,,1,,,,0
109,Agnes Brun,F,1995.0,U,2313.6666666666665,0,3,FRA,,,2018.0,,,,,3,,,,0
110,Agnes Bukta,F,1993.0,R,3220.4880952380954,93,75,HUN,68.66666666666667,486.76785714285717,2019.0,0.5277777777777778,0.5361305361305361,1.3333333333333333,0.0652913752913753,168,Winter,2016.0,Clay,55
111,Agnes Gustafsson,F,2001.0,R,3090.6,3,7,SWE,,,2021.0,,,,,10,Summer,2019.0,Clay,30
112,Agnes Mitteregger,F,2004.0,U,3538.5,0,2,SWE,,,2021.0,,,,,2,,,,0
113,Agnes Ornella Biba,F,1999.0,U,3163.5,0,2,CMR,,,2017.0,,,,,2,,,,0
114,Agnese Dolceamore,F,,U,4393.0,0,1,ITA,,,2021.0,,,,,1,,,,0
115,Agnieszka Radwanska,F,1989.0,R,7112.284722222223,93,51,POL,98.60283687943263,11.13888888888889,2018.0,0.5497815933067732,0.5790400649625126,2.2447552447552446,0.0263161837435105,144,Winter,2016.0,Hard,64
116,Agostina Breval,F,,U,3280.0,0,2,FRA,,,2021.0,,,,,2,,,,0
117,Agostina Landa,F,2000.0,U,3149.0,3,8,ARG,,,2021.0,,,,,11,Winter,2019.0,Clay,27
118,Agustin Moreno,M,1967.0,R,3333.0,1,3,MEX,65.75,,2016.0,0.5428571428571429,0.561724115483514,2.0,0.13390782150180647,4,Winter,2016.0,Clay,25
119,Agustin Suarez Gonzalez,M,1993.0,U,3383.0,0,1,ARG,75.0,2037.0,2016.0,0.3333333333333333,0.543859649122807,0.0,0.03508771929824561,1,,,,0
120,Agustin Velotti,M,1992.0,R,3459.5974842767296,79,80,ARG,100.86184210526316,339.3522012578616,2021.0,0.5561804438926429,0.6069165309507357,3.895424836601307,0.03504163314420333,159,Winter,2016.0,Clay,49
121,Agustina Chlpac,F,1997.0,U,3150.4555555555557,40,50,ARG,,929.6086956521739,2021.0,,,,,90,Summer,2019.0,Clay,44
122,Agustina Rimoldi Godoy,F,1999.0,U,2476.75,1,3,ARG,,,2018.0,,,,,4,Summer,2018.0,Clay,25
123,Ah Song,F,1996.0,R,3314.3,3,7,KOR,,,2019.0,,,,,10,Summer,2019.0,Hard,30
124,Ahlam Shawkat,F,1998.0,U,3546.5,2,8,EGY,,1248.75,2017.0,,,,,10,Winter,2016.0,Clay,20
125,Ahmani Guichard,F,,U,2884.0,0,1,USA,,,2021.0,,,,,1,,,,0
126,Ai Kamiyoshihara,F,1991.0,U,3245.0,1,4,JPN,,,2018.0,,,,,5,Summer,2018.0,Clay,20
127,Ai Qi Chen,F,1999.0,L,3423.9166666666665,2,10,CHN,,,2019.0,,,,,12,Summer,2019.0,Clay,16
128,Ai Wen Zhu,F,1994.0,R,2752.5,0,4,CHN,,1224.0,2018.0,,,,,4,,,,0
129,Ai Yamaguchi,F,,U,2871.153846153846,4,9,JPN,,,2021.0,,,,,13,Summer,2019.0,Hard,30
130,Aida Garcia Mendez,F,2001.0,U,3034.8,0,5,MEX,,,2019.0,,,,,5,,,,0
131,Aida Kalimullina,F,1995.0,U,3147.0,2,9,RUS,,,2017.0,,,,,11,Summer,2017.0,Clay,18
132,Aidan Mchugh,M,2000.0,U,4928.705882352941,6,11,GBR,112.6875,563.3125,2021.0,0.475261544011544,0.5769398934622156,3.875,0.04023111272948553,17,Summer,2021.0,Hard,35
133,Aigerim Akzhol Kyzy,F,2002.0,U,212.5,0,2,KGZ,51.5,,2017.0,0.18253968253968253,0.27303523035230354,0.0,0.21747967479674796,2,,,,0
134,Aiko Yoshitomi,F,1993.0,U,3197.8695652173915,52,63,JPN,,769.0927835051547,2020.0,,,,,115,Summer,2019.0,Hard,45
135,Aimee Gibson,F,1991.0,U,3487.0,0,1,GBR,,,2016.0,,,,,1,,,,0
136,Aimee Tarun,F,1994.0,U,3337.5714285714284,4,17,USA,,1225.0,2019.0,,,,,21,Summer,2018.0,Hard,19
137,Aina Domingo Bernabeu,F,2001.0,U,3650.5,0,2,ESP,,,2019.0,,,,,2,,,,0
138,Ainara Vegal,F,,U,2496.5,0,2,ESP,,,2021.0,,,,,2,,,,0
139,Ainhoa Atucha Gomez,F,1993.0,L,3177.3728813559323,50,68,ESP,,768.0338983050848,2021.0,,,,,118,Summer,2016.0,Hard,42
140,Ainhoa Meili Fernandez Del Moral Perier,F,,U,3358.0,1,2,ESP,,,2021.0,,,,,3,Summer,2019.0,Clay,33
141,Ainius Sabaliauskas,M,2003.0,U,390.0,0,1,LTU,36.0,,2018.0,0.5,0.3404255319148936,0.0,0.0851063829787234,1,,,,0
142,Aino Alkio,F,2000.0,U,3470.5,3,17,FIN,,,2020.0,,,,,20,Summer,2019.0,Clay,15
143,Airi Ohashi,F,,U,3639.0,0,1,JPN,,,2019.0,,,,,1,,,,0
144,Aisam Ul Haq Qureshi,M,1980.0,R,979.0,4,4,PAK,114.125,,2020.0,0.6543154761904761,0.7059240478475941,15.25,0.06489915990857735,8,Winter,2017.0,Grass,50
145,Aisha Al Suleimani,F,2003.0,U,227.0,0,1,OMA,33.0,,2018.0,0.375,0.26666666666666666,0.0,0.2,1,,,,0
146,Aisha Kukushkina,F,2001.0,U,3430.0,0,1,RUS,,,2016.0,,,,,1,,,,0
147,Aisha Niyonkuru,F,2001.0,U,2751.5,2,2,BDI,,,2018.0,,,,,4,Winter,2018.0,Hard,50
148,Aisling Oconnor,F,2003.0,U,2937.3333333333335,1,2,IRL,,,2019.0,,,,,3,Summer,2018.0,Carpet,33
149,Aissa Benchakroun,M,,U,458.0,1,0,MAR,,1671.0,2020.0,,,,,1,Winter,2020.0,Clay,100
150,Aitor Aramburu,M,1992.0,U,2732.0,1,3,MEX,62.75,1681.0,2018.0,0.5833333333333334,0.4646100042869068,0.25,0.09226585591480337,4,Winter,2016.0,Hard,25
151,Aiya Nupbay,F,,U,3112.285714285714,3,4,KAZ,,,2021.0,,,,,7,Winter,2021.0,Hard,42
152,Aizat Zholdakayeva,F,,U,2830.6666666666665,0,3,KAZ,,,2019.0,,,,,3,,,,0
153,Ajeet Rai,M,1999.0,R,1549.0,1,4,NZL,106.0,848.0,2020.0,0.5793650793650794,0.6056689342403628,5.333333333333333,0.03854875283446712,5,Summer,2019.0,Hard,20
154,Ajla Tomljanovic,F,1993.0,R,5787.87012987013,124,107,AUS,98.27692307692308,104.27947598253274,2021.0,0.5013992649919389,0.5581887845446573,3.116751269035533,0.06357600115106361,231,Summer,2018.0,Hard,53
155,Akanit Pumjit,M,2000.0,U,2931.0,0,1,THA,61.0,,2018.0,0.5,0.5245901639344263,3.0,0.08196721311475409,1,,,,0
156,Akanksha A Bhan,F,2000.0,R,1920.0,0,1,IND,,,2019.0,,,,,1,,,,0
157,Akanksha Dileep Nitture,F,2002.0,R,3436.090909090909,3,8,IND,,,2021.0,,,,,11,Winter,2021.0,Hard,27
158,Akari Inoue,F,1988.0,U,3053.5833333333335,12,24,JPN,77.0,827.6333333333333,2019.0,0.5333333333333333,0.45348837209302323,0.0,0.1511627906976744,36,Summer,2017.0,Hard,33
159,Akari Kakizawa,F,1998.0,U,3828.5,1,3,JPN,,,2018.0,,,,,4,Winter,2016.0,Carpet,25
160,Akgul Amanmuradova,F,1984.0,R,3196.984496124031,57,72,UZB,79.05882352941177,444.7519379844961,2021.0,0.5217284349637291,0.5084928695822181,2.411764705882353,0.04699657483343735,129,Summer,2019.0,Hard,44
161,Aki Yamasoto,F,1991.0,R,3007.0555555555557,8,10,JPN,,737.0555555555555,2017.0,,,,,18,Winter,2016.0,Hard,44
162,Akiho Kakuya,F,1995.0,U,3342.9333333333334,10,20,JPN,,1189.2857142857142,2018.0,,,,,30,Summer,2017.0,Clay,33
163,Akiko Okuda,F,1993.0,U,3210.4814814814813,4,23,USA,,1213.076923076923,2018.0,,,,,27,Summer,2017.0,Clay,14
164,Akiko Omae,F,1993.0,R,3271.134328358209,102,99,JPN,92.45454545454545,345.92537313432837,2021.0,0.45260504201680674,0.5080318089628627,0.8181818181818182,0.03952328867824211,201,Summer,2019.0,Hard,50
165,Akilah James,F,1992.0,U,3170.7410714285716,45,67,GRN,,851.1111111111111,2021.0,,,,,112,Summer,2019.0,Hard,40
166,Akira Santillan,M,1997.0,R,4848.288793103448,115,117,AUS,91.50691244239631,235.34913793103448,2021.0,0.5681422450788648,0.6357857569442642,5.746606334841629,0.04362996917835272,232,Summer,2017.0,Hard,49
167,Akram El Sallaly,M,1997.0,U,3796.0,0,1,EGY,64.0,1245.0,2017.0,0.2,0.5272727272727272,1.0,0.03636363636363636,1,,,,0
168,Akshara Iska,F,1997.0,R,3369.2,2,3,IND,,,2016.0,,,,,5,Summer,2016.0,Hard,40
169,Akvile Parazinskaite,F,1996.0,U,2927.310344827586,20,9,LTU,,1223.0,2021.0,,,,,29,Summer,2021.0,Hard,68
170,Alan Fernando Rubio Fierros,M,1999.0,U,3364.0,0,3,MEX,91.0,1585.0,2018.0,0.4398148148148148,0.49414629681849437,1.0,0.09402781282001811,3,,,,0
171,Alan Gadjiev,M,1995.0,U,2998.0,0,3,UZB,91.66666666666667,956.0,2016.0,0.4312169312169312,0.5755656108597286,3.3333333333333335,0.10122034827917181,3,,,,0
172,Alan Kohen,M,1993.0,R,3809.0,1,1,ARG,107.5,1407.0,2017.0,0.5208333333333334,0.5371539582321515,0.0,0.05374777400032378,2,Winter,2017.0,Hard,50
173,Alan Sau Franco,M,2000.0,U,3274.0,0,2,MEX,39.0,,2017.0,0.3125,0.35983658076681335,0.0,0.08516656191074795,2,,,,0
174,Alana Parnaby,F,1994.0,U,3219.3488372093025,31,55,AUS,83.0,814.5,2021.0,0.5454545454545454,0.4666666666666667,4.0,0.16666666666666666,86,Summer,2019.0,Hard,36
175,Alana Repanich,F,,U,4096.0,0,1,AUS,,,2020.0,,,,,1,,,,0
176,Alana Roth,F,,R,2619.0,0,2,USA,,,2019.0,,,,,2,,,,0
177,Alana Tuayeva,F,1999.0,U,2987.6923076923076,7,19,RUS,,,2021.0,,,,,26,Summer,2021.0,Hard,26
178,Alana Wolfberg,F,,U,3924.0,1,1,USA,,,2019.0,,,,,2,Summer,2019.0,Clay,50
179,Aland Sanson,M,2001.0,L,2568.0,0,1,CHI,41.0,,2016.0,0.2857142857142857,0.3,0.0,0.13333333333333333,1,,,,0
180,Alanna Di Francesco,F,,U,3169.0,0,1,ESP,,,2020.0,,,,,1,,,,0
181,Alara Ayaz,F,,U,3264.7619047619046,6,15,TUR,,,2021.0,,,,,21,Winter,2020.0,Clay,28
182,Alara Sener,F,2000.0,R,2507.0,0,1,TUR,,,2016.0,,,,,1,,,,0
183,Alastair Gray,M,1998.0,R,3500.3636363636365,1,10,GBR,87.36363636363636,1095.857142857143,2021.0,0.5238095238095238,0.5528625357010511,3.6363636363636362,0.07238360551626043,11,Summer,2021.0,Grass,9
184,Alba Carrillo Marin,F,1996.0,U,3229.4718614718613,119,112,ESP,,691.7329842931937,2021.0,,,,,231,Summer,2019.0,Hard,51
185,Alba Cortina Pou,F,1998.0,U,3441.0,1,1,ESP,,,2016.0,,,,,2,Summer,2016.0,Clay,50
186,Alba Ferreres Fernandez,F,,U,3262.0,0,2,ESP,,,2020.0,,,,,2,,,,0
187,Alba Guijo,F,,U,3810.0,0,1,ESP,,,2019.0,,,,,1,,,,0
188,Alba Retortillo Soiras,F,,U,3162.818181818182,3,8,ESP,,,2021.0,,,,,11,Summer,2021.0,Hard,27
189,Alba Rey Garcia,F,2002.0,U,2948.1153846153848,38,40,ESP,,1076.032258064516,2021.0,,,,,78,Summer,2021.0,Clay,48
190,Albano Olivetti,M,1991.0,R,3907.025974025974,37,40,FRA,86.70833333333333,498.84415584415586,2019.0,0.6828153328153329,0.676093896775995,15.61111111111111,0.09384650750712477,77,Winter,2018.0,Hard,48
