,fullname,gender,birth,hand,tourney_spectators,won_matches,lost_matches,country,minutes,rank,year,bp_save_ratio,svpt_won_perc,ace,df_perc,matches,best_season,best_year,best_surface,percent_won
8926,Su Jeong Jang,F,1995.0,R,3528.029739776952,154,115,KOR,103.5,213.98513011152417,2021.0,0.5247588932015161,0.55159680491173,1.360655737704918,0.058943697061494285,269,Summer,2016.0,Hard,57
8927,Su Wei Hsieh,F,1986.0,R,5965.584615384615,142,118,TPE,94.37556561085972,67.01538461538462,2021.0,0.5097648865286346,0.549796778630278,0.8468468468468469,0.04225885255108515,260,Summer,2018.0,Hard,54
8928,Su Yeon Chun,F,1997.0,U,3402.4666666666667,6,9,KOR,,,2019.0,,,,,15,Summer,2019.0,Hard,40
8929,Subin Park,F,1998.0,U,3339.25,7,9,KOR,,1243.0,2019.0,,,,,16,Summer,2019.0,Hard,43
8930,Sudipta Kumar,F,,U,3184.0,1,1,IND,,,2021.0,,,,,2,Winter,2021.0,Hard,50
8931,Suhana Sofia Mohd Adam Das,F,2000.0,U,1705.2,2,8,MAS,60.75,,2019.0,0.42708333333333337,0.46276018877134006,1.0,0.15115714867475935,10,Winter,2018.0,Hard,20
8932,Suhyun Lim,F,2002.0,U,3813.0,0,1,UNK,,,2019.0,,,,,1,,,,0
8933,Sujeong Jang,F,,U,3026.8571428571427,10,4,KOR,,,2021.0,,,,,14,Summer,2021.0,Clay,71
8934,Sujin Yoon,F,1995.0,U,3796.5,0,2,KOR,,,2019.0,,,,,2,,,,0
8935,Sukhee Ann,M,2000.0,U,3375.0,0,1,KOR,36.0,,2016.0,0.0,0.2894736842105263,0.0,0.10526315789473684,1,,,,0
8936,Sultan Gonen,F,1995.0,R,3724.6666666666665,1,2,TUR,,,2020.0,,,,,3,Winter,2020.0,Clay,33
8937,Sultan Narbekov,M,1999.0,U,4078.5,0,4,KAZ,57.25,,2018.0,0.39583333333333337,0.42292126034576427,0.5,0.08278468826894193,4,,,,0
8938,Sumin Kim,F,2001.0,U,3515.0,0,1,KOR,,,2016.0,,,,,1,,,,0
8939,Sumina Eshiro,F,1996.0,U,3401.0,0,1,JPN,,,2017.0,,,,,1,,,,0
8940,Sumire Ri,F,1999.0,U,3044.0,0,1,JPN,,,2019.0,,,,,1,,,,0
8941,Sumit Nagal,M,1997.0,R,4943.366666666667,113,97,IND,99.92574257425743,243.3095238095238,2021.0,0.5353922774991122,0.591151498095613,1.526829268292683,0.04036393523418593,210,Summer,2019.0,Clay,53
8942,Sumit Sarkar,M,1999.0,U,3282.5,0,2,USA,63.5,944.0,2019.0,0.37142857142857144,0.4147220315717227,0.5,0.05868222374742622,2,,,,0
8943,Summer Clemons,F,2002.0,U,4700.0,0,1,USA,,,2018.0,,,,,1,,,,0
8944,Summer Yardley,F,1999.0,U,2935.6,2,3,GBR,,,2017.0,,,,,5,Winter,2017.0,Hard,40
